# id	subject	args	expected_status	expected_reason	features
# W4.3 item 1 landing B: TrimSpace + Repeat shims. Red until they land.
trim-ascii	trimSpaceAscii	-	ok	-	stdlib,strings
trim-unicode	trimSpaceUnicode	-	ok	-	stdlib,strings,unicode
trim-all-space	trimSpaceAllSpace	-	ok	-	stdlib,strings,empty
trim-empty	trimSpaceEmpty	-	ok	-	stdlib,strings,empty
trim-inner-runes	trimSpaceInnerRunes	-	ok	-	stdlib,strings,unicode
repeat-basic	repeatBasic	-	ok	-	stdlib,strings,concat
repeat-describe-shape	repeatDescribeShape	-	ok	-	stdlib,strings,concat
repeat-negative	repeatNegative	-	panic	strings: negative Repeat count	stdlib,strings,panic
# repeat-overflow: upstream's overflow panic modeled verbatim
# (2026-08-31 t1-fidelity-fixes; both sides panic, no allocation).
# repeat-bound-refused: RED BY DESIGN — outputs past the shim's 1<<24
# modeled bound refuse by name (goleanShimStringsRepeatBound, the
# force-quarantined cause-naming helper) instead of a causeless
# fuel/memory stop; expected column records the oracle's truth (gc
# allocates the 16 MiB fine → 16777232).
repeat-overflow	repeatOverflow	-	panic	strings: Repeat output length overflow	stdlib,strings,panic
repeat-bound-refused	repeatBoundRefused	-	ok	-	stdlib,strings
